*			
Position(mm)	Load(kN)	Strain(-/-)	Time(sec)
0	8.59E-02	0.000054	0
0.03	2.55E-01	0.000054	1
0.07	2.82E-01	0.000054	2
0.1	2.95E-01	0.000054	3
0.13	3.09E-01	0.000054	4
0.17	3.17E-01	0.000161	5
0.2	3.28E-01	0.000295	6
0.23	3.44E-01	0.000215	7
0.27	3.62E-01	0.000134	8
0.3	3.89E-01	0.000268	9
0.33	4.22E-01	0.000349	10
0.37	4.56E-01	0.000322	11
0.4	4.89E-01	0.000188	12
0.43	5.21E-01	0.000242	13
0.47	5.48E-01	0.000295	14
0.5	5.75E-01	0.000215	15
0.53	6.01E-01	0.000242	16
0.57	6.31E-01	0.000322	17
0.6	6.55E-01	0.000403	18
0.63	6.79E-01	0.000295	19
0.67	7.01E-01	0.000268	20
0.7	7.22E-01	0.000349	21
0.73	7.44E-01	0.00043	22
0.77	7.65E-01	0.000376	23
0.8	7.87E-01	0.000268	24
0.83	8.08E-01	0.000376	25
0.87	8.32E-01	0.000456	26
0.9	8.54E-01	0.00043	27
0.93	8.78E-01	0.000322	28
0.97	8.94E-01	0.000349	29
1	9.15E-01	0.000456	30
1.03	9.45E-01	0.000349	31
1.07	9.75E-01	0.000322	32
1.1	1.01E+00	0.00043	33
1.13	1.04E+00	0.000403	34
1.17	1.07E+00	0.000349	35
1.2	1.11E+00	0.000537	36
1.23	1.15E+00	0.000403	37
1.27	1.18E+00	0.000403	38
1.3	1.22E+00	0.000403	39
1.33	1.26E+00	0.000564	40
1.37	1.31E+00	0.000483	41
1.4	1.37E+00	0.000403	42
1.43	1.43E+00	0.000564	43
1.47	1.50E+00	0.00051	44
1.5	1.57E+00	0.00043	45
1.53	1.63E+00	0.00051	46
1.57	1.70E+00	0.000564	47
1.6	1.77E+00	0.000456	48
1.63	1.85E+00	0.000537	49
1.67	1.93E+00	0.000752	50
1.7	2.01E+00	0.000591	51
1.73	2.09E+00	0.000537	52
1.77	2.19E+00	0.000644	53
1.8	2.28E+00	0.000698	54
1.83	2.38E+00	0.000591	55
1.87	2.48E+00	0.000644	56
1.9	2.59E+00	0.000779	57
1.93	2.70E+00	0.000698	58
1.97	2.81E+00	0.000671	59
2	2.93E+00	0.000832	60
2.03	3.06E+00	0.000805	61
2.07	3.19E+00	0.000725	62
2.1	3.32E+00	0.000832	63
2.13	3.45E+00	0.000886	64
2.17	3.59E+00	0.000886	65
2.2	3.73E+00	0.000752	66
2.23	3.87E+00	0.00094	67
2.27	4.02E+00	0.00102	68
2.3	4.17E+00	0.000886	69
2.33	4.33E+00	0.000886	70
2.37	4.48E+00	0.001047	71
2.4	4.65E+00	0.001128	72
2.43	4.81E+00	0.001101	73
2.47	4.98E+00	0.000993	74
2.5	5.14E+00	0.001154	75
2.53	5.35E+00	0.001262	76
2.57	5.54E+00	0.001154	77
2.6	5.75E+00	0.001262	78
2.63	5.95E+00	0.001396	79
2.67	6.16E+00	0.001369	80
2.7	6.37E+00	0.001342	81
2.73	6.58E+00	0.00153	82
2.77	6.80E+00	0.001584	83
2.8	7.02E+00	0.001476	84
2.83	7.24E+00	0.001664	85
2.87	7.46E+00	0.001772	86
2.9	7.68E+00	0.001772	87
2.93	7.91E+00	0.001879	88
2.97	8.13E+00	0.002013	89
3	8.36E+00	0.00204	90
3.03	8.59E+00	0.002067	91
3.07	8.82E+00	0.002309	92
3.1	9.05E+00	0.002416	93
3.13	9.28E+00	0.002443	94
3.17	9.51E+00	0.002631	95
3.2	9.73E+00	0.002926	96
3.23	9.95E+00	0.003007	97
3.27	1.02E+01	0.003195	98
3.3	1.04E+01	0.003544	99
3.33	1.06E+01	0.003731	100
3.37	1.08E+01	0.003919	101
3.4	1.09E+01	0.004403	102
3.43	1.11E+01	0.004778	103
3.47	1.13E+01	0.005101	104
3.5	1.14E+01	0.005584	105
3.53	1.15E+01	0.006174	106
3.57	1.17E+01	0.006631	107
3.6	1.18E+01	0.00706	108
3.63	1.20E+01	0.007651	109
3.67	1.21E+01	0.008161	110
3.7	1.22E+01	0.008671	111
3.73	1.24E+01	0.009074	112
3.77	1.25E+01	0.009772	113
3.8	1.26E+01	0.01028	114
3.83	1.28E+01	0.01066	115
3.87	1.29E+01	0.01111	116
3.9	1.30E+01	0.01173	117
3.93	1.32E+01	0.01219	118
3.97	1.33E+01	0.01262	119
4	1.34E+01	0.01305	120
4.03	1.36E+01	0.01358	121
4.07	1.37E+01	0.0142	122
4.1	1.38E+01	0.0146	123
4.13	1.40E+01	0.01506	124
4.17	1.41E+01	0.01568	125
4.2	1.42E+01	0.01621	126
4.23	1.44E+01	0.0167	127
4.27	1.45E+01	0.0171	128
4.3	1.46E+01	0.01777	129
4.33	1.47E+01	0.01823	130
4.37	1.49E+01	0.01871	131
4.4	1.50E+01	0.01914	132
4.43	1.51E+01	0.01978	133
4.47	1.52E+01	0.02043	134
4.5	1.53E+01	0.02089	135
4.53	1.55E+01	0.02137	136
4.57	1.56E+01	0.02196	137
4.6	1.57E+01	0.0226	138
4.63	1.58E+01	0.02314	139
4.67	1.59E+01	0.02357	140
4.7	1.60E+01	0.02416	141
4.73	1.61E+01	0.02483	142
4.77	1.62E+01	0.02542	143
4.8	1.64E+01	0.02593	144
4.83	1.65E+01	0.02652	145
4.87	1.66E+01	0.02722	146
